Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AGGREGATE INDUSTRIES UK LTD,954111,Renewals of Roads," £708,986.28 ",LE67 1TL
Department for Transport,EWR,05/03/2024,Technical Partner: staffing assistance,Define Solution,MWJV-EWR,15585,AfP No. 9 to 28/01/2024 Task Order 016 Priority Design," £708,534.73 ",WC2A 1AF
Department for Transport,Department for Transport,01/03/2024,Other Professional F,DG Corporate Delivery Group,ARVATO LIMITED,2000032565,#," £701,662.51 ",HU10 6DN
Department For Transport,National Highways,15/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AEBI SCHMIDT UK LIMITED,953684,Winter Maintenance - Assets," £694,017.60 ",PE2 6GP
Department For Transport,National Highways,22/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,WESSEX ARCHAEOLOGY LTD,955892,Feasibility," £692,472.96 ",SP4 6EB
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,GALLIFORD TRY INFRASTRUCTURE LIMITED,953527,Feasibility," £692,414.64 ",LE10 3JH
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AGGREGATE INDUSTRIES UK LTD,954440,Renewals of Roads," £683,398.22 ",LE67 1TL
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WEST MIDLANDS COMBINED AUTHORITY,2000034787,S31 Determination - TSOG Grant," £682,759.72 ",B19 3SD
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,WEST OF ENGLAND COMBINED,2000035632,Capability Fund 24/25," £681,902.00 ",BS1 6QH
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,HUNTINGDONSHIRE DISTRICT COUNCIL,951936,Communities," £680,911.81 ",PE29 3TN
Department for Transport,Department for Transport,13/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",HARRIS AUTOMOTIVE DISTRIBUTORS U.G,2000033876,"""PIVG Harris Auto  February 2024 #680,000"""," £680,000.00 ",D12 KX5
Department for Transport,Department for Transport,27/03/2024,Cap Research-CG,"DG Decarbonisation, Technology and Strategy",MET OFFICE,2000035828,Research & Development on CAV sensors," £679,365.00 ",EX1 3PB
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HANSON CONTRACTING,954557,Renewals of Roads," £679,325.80 ",SL6 4JJ
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,HERTFORDSHIRE COUNTY COUNCIL,2000034658,S31 Determination - TSOG Grant," £677,026.13 ",SG13 8DN
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,Cumberland Council,2000035661,ATF4E First Intallment," £674,926.00 ",CA1 1RD
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,CHESHIRE EAST COUNCIL,2000035603,ATF4E First Intallment," £673,786.00 ",CW1 2JZ
Department For Transport,National Highways,26/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,ERNST & YOUNG LLP,956554,Innovation Operations," £673,703.30 ",SE1 2AF
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,952183,RIS 2 Schemes," £672,431.71 ",G2 7HX
Department For Transport,National Highways,25/03/2024,Contractor Costs,OPERATIONS DIRECTORATE,AMEY OW LIMITED,956090,Protocol SRC (Severn River Crossing)," £672,059.99 ",OX4 4DQ
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",PORTSMOUTH CITY COUNCIL,2000035067,Portsmouth 75% 22-23 ORCS payment," £665,572.50 ",PO1 2AL
Department For Transport,National Highways,08/03/2024,Contractor Costs,FINANCE & BUSINESS SERVICES,EMOVIS OPERATIONS LEEDS LTD,952593,Protocol Dart Charge," £664,862.22 ",LS2 8LQ
Department for Transport,DVSA,12/03/2024,THEORY TEST VARIABLE CHARGE,NATIONAL TT ENGINE & CONTENT MANAGER,PEARSON PROFESSIONAL,5100009335,THEORY TEST - THROUGHPUT - FEBRUARY 2024," £663,899.20 ",#
Department for Transport,Department for Transport,15/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",LONDON BOROUGH OF BARNET,2000034200,Barnet 21-22 25% ORCS payment," £663,647.75 ",N11 1NP
Department For Transport,National Highways,14/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,BALFOUR BEATTY CIVIL ENGINEERING LTD,953552,Other Capital," £660,513.55 ",SW1V 1LQ
Department for Transport,High Speed Two (HS2) Limited,15/03/2024,Professional Services,200000 - L&P 102 Balance Sheet,DELOITTE LLP,#,Value Management Programme and Cost Remediation Plan to 7th June 2024," £657,360.00 ",#
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,NORFOLK COUNTY COUNCIL,2000035547,Capability Fund 24/25," £656,244.00 ",NR1 2UG
Department for Transport,Department for Transport,26/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,BUCKINGHAMSHIRE CC (REVENUE),2000035529,Bus Transformation Fund (RDEL) - #11.741m," £655,166.00 ",HP20 1UD
Department for Transport,Department for Transport,20/03/2024,CurrGrtOth to NDPBs,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034750,Spaceflight Regulator Feb 24," £652,405.10 ",RH6 0YR
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NOTTINGHAMSHIRE COUNTY COUNCIL,2000034729,S31 Determination - TSOG Grant," £651,758.83 ",NG2 7QP
Department for Transport,Department for Transport,20/03/2024,CurrGrtOth to NDPBs,DG Rail Strategy and Services Group,RAIL DELIVERY GROUP LIMITED,2000034869,DELIVERY OF BWVIA PROJECT AND SHOR CAMPAIGN," £650,293.15 ",EC1A 4HD
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SHROPSHIRE COUNTY COUNCIL,2000033896,Safer Roads Fund Capital Grant," £650,000.00 ",SY2 6ND
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033047,#," £646,990.82 ",REDACTED
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033029,#," £646,974.07 ",REDACTED
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,OXFORDSHIRE CC,2000034666,S31 Determination - TSOG Grant," £642,923.02 ",OX1 1TH
Department For Transport,National Highways,11/03/2024,Professional advisers - Accommodation,FINANCE & BUSINESS SERVICES,CBRE LIMITED,952792,Corporate Support Services," £642,560.00 ",G2 6UA
Department for Transport,Driver & Vehicle Licensing Agency,08/03/2024,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000030335,#," £642,412.79 ",SL1 4LZ
Department For Transport,National Highways,19/03/2024,Contractor Costs,DIGITAL SERVICES,TELENT TECHNOLOGY SERVICES LIMITED,954114,Corporate Support Services," £642,152.42 ",CV34 5AH
Department For Transport,National Highways,23/03/2024,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8700012746664783,Routine Maintenance," £641,003.95 ",EN1 1TH
Department for Transport,Department for Transport,26/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,WELSH GOVERNMENT,2000035526,P2413 Wk3 2024.P13 CP6 Access Charge Adjustment_P2," £639,798.33 ",CF10 3NQ
Department For Transport,National Highways,04/03/2024,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,FIDUM,951785,Non MA," £635,440.22 ",KT11 2LA
Department For Transport,National Highways,04/03/2024,ICT Software Purchase,DIGITAL SERVICES,ORACLE CORPORATION UK LTD,951786,Corporate Support Services," £632,317.27 ",RG6 1RA
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033001,#," £626,870.79 ",REDACTED
Department for Transport,Department for Transport,25/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GREATER MANCHESTER COMBINED,2000035368,S31 Determination - TSOG Grant," £626,838.37 ",M1 6EU
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SUFFOLK COUNTY COUNCIL (GRANTS),2000034696,S31 Determination - TSOG Grant," £625,793.96 ",IP1 2DH
Department For Transport,National Highways,12/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BAM NUTTALL LIMITED,953030,Feasibility," £624,381.51 ",GU15 3XW
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",AMERESCO LIMITED,957364,Air Quality," £623,887.94 ",GU1 4UL
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,THE COTSWOLDS CONSERVATION BOARD FOR THE COTSWOLDS AREA OF OUTSTANDING NATURAL BEAUTY,956916,Biodiversity," £622,198.38 ",GL54 2QB
Department For Transport,National Highways,20/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,TARMAC TRADING LIMITED,CONF9077205243367953,Renewals of Roads," £619,480.18 ",B37 7BQ
Department for Transport,Department for Transport,27/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",TRANSPORT NORTH EAST,2000035859,LEVI Capability fund: NEJTC 23/24/25 - #618670," £618,670.00 ",NE1 8QH
Department for Transport,Department for Transport,14/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000034023,#," £618,574.56 ",REDACTED
Department for Transport,Department for Transport,01/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",FORD MOTOR COMPANY LIMITED,2000032569,"""PIVG Ford January  2024 #615,000"""," £615,000.00 ",SS15 6EE
Department For Transport,National Highways,20/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,TURNER & TOWNSEND,954649,RIS 2 Schemes," £612,541.97 ",LS18 4GH
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HAILSHAM ROADWAY CONSTRUCTION CO LIMITED,954333,Renewals of Roads," £611,700.16 ",BN27 3PG
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000032968,#," £611,214.76 ",REDACTED
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,GLOUCESTERSHIRE COUNTY COUNCIL,2000034645,S31 Determination - TSOG Grant," £610,873.85 ",GL1 2TJ
Department for Transport,Department for Transport,13/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",LONDON EV COMPANY LTD,2000033919,"""PITG LEVC February  2024 #607,500"""," £607,500.00 ",CV7 9RF
Department For Transport,National Highways,08/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,KIER TRANSPORTATION LIMITED,952632,RIS 2 Schemes," £606,821.09 ",M50 3XP
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,BRISTOL CITY COUNCIL,2000034648,S31 Determination - TSOG Grant," £606,300.94 ",BS99 7BL
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033046,#," £603,598.23 ",REDACTED
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WARWICKSHIRE COUNTY COUNCIL,2000034868,S31 Determination - TSOG Grant," £602,193.06 ",CV34 4RL
Department for Transport,DVSA,25/03/2024,FURNITURE & FITTINGS,WORKWISE SWANSEA,SENATOR INTERNATIONAL LIMITED,5100009697,FURNITURE - MARCH 2024," £600,355.88 ",#
Department for Transport,Department for Transport,15/03/2024,Support Services,"DG Aviation, Maritime and Security",UKRI - EPSRC,2000034186,#," £600,000.00 ",SN2 1ET
Department for Transport,Driver & Vehicle Licensing Agency,30/03/2024,Other Professional Fees,Operations,Target Group Ltd,2000032454,#," £597,665.64 ",NP10 8UH
Department For Transport,National Highways,25/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,CONCRETE REPAIRS LTD,956232,Renewals of Structures," £593,834.91 ",CR4 4TU
Department For Transport,National Highways,12/03/2024,RM - Electricity costs,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,953027,Routine Maintenance," £593,280.68 ",PL3 5XQ
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,AUC - Phase 1,AUC - 000000,NETWORK RAIL INFRASTRUCTURE LTD,#,ONW - Princes Risborough to Aylesbury (PRA) Works Stage 2 Remit – Realignment of the PRA Rail Systems and Upgrade of the Marsh Lane Level Crossing," £593,149.20 ",#
Department for Transport,Department for Transport,27/03/2024,Basic Franchise Pay,DG Rail Strategy and Services Group,Trenitalia c2c Limited,2000035831,P2501 Wk4 2024.P12 NRC RevADJ - RP2412 - Trenitali," £592,580.39 ",EC3R 6DL
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000032990,#," £592,141.63 ",REDACTED
Department For Transport,National Highways,19/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,Octavius Infrastructure Ltd,954087,Renewals of Roads," £590,972.88 ",RH2 9PY
Department for Transport,Department for Transport,19/03/2024,CurrGrt LAs out AEF/,"DG Decarbonisation, Technology and Strategy",TRANSPORT FOR GREATER MANCHESTER,2000034504,LEVI Capability fund :   TfGM 23/24 - #590400," £590,400.00 ",M1 3BG
Department for Transport,Department for Transport,14/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000034002,#," £589,528.27 ",REDACTED
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,Octavius Infrastructure Ltd,951928,RIS 1 Schemes," £586,567.70 ",RH2 9PY
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SOMERSET COUNTY COUNCIL,2000034671,S31 Determination - TSOG Grant," £585,606.55 ",TA1 4DY
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WILTSHIRE COUNCIL,2000034747,S31 Determination - TSOG Grant," £584,521.45 ",BA14 4DS
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SOUTHAMPTON CITY COUNCIL,2000034694,S31 Determination - TSOG Grant," £582,312.50 ",SO14 7LY
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033065,#," £580,250.73 ",REDACTED
Department For Transport,National Highways,15/03/2024,TA Cost AUC – Non SRN,MAJOR PROJECTS,Gowling WLG (UK) LLP 2022/2027 (TR140),LOMD302741,RIS 2 Schemes," £577,517.00 ",SE1 2AU
Department for Transport,Department for Transport,14/03/2024,Cap Grt Pri Sec-Cos.,"DG Decarbonisation, Technology and Strategy",Mercedes-Benz Vans UK Limited,2000034082,"""PIVG Mercedes Vans February 2024 #577,500.00"""," £577,500.00 ",MK15 8BA
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,CHESHIRE EAST COUNCIL,2000034743,S31 Determination - TSOG Grant," £577,003.27 ",CW1 2JZ
Department for Transport,Driver & Vehicle Licensing Agency,18/03/2024,Non Stock Machine Consumables,Operations,Thales DIS UK Ltd,2000033544,#," £576,489.60 ",PO15 5RX
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,CHESHIRE WEST & CHESTER COUNCIL,2000034744,S31 Determination - TSOG Grant," £575,724.40 ",CH34 9DB
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,ERNST & YOUNG LLP,953179,RIS 2 Schemes," £575,621.00 ",SE1 2AF
Department for Transport,Department for Transport,08/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000033049,#," £574,595.64 ",REDACTED
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,Professional Services,P40033 - Civils and Services - Commercial,TURNER & TOWNSEND CONTRACT SERVICES LTD,#,Contracts for  Procurement and Supply Chain Delivery Partners (PDP) for 2 years as Ref  HS2/2186 ," £572,417.81 ",#
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952866,SR13 Smart Motorway Scheme," £572,124.18 ",SL6 4UB
Department For Transport,National Highways,19/03/2024,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,VolkerLaser Ltd,954363,Renewals of Structures," £571,632.16 ",EN11 9BX
Department For Transport,National Highways,22/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,ADVANCED 365 LIMITED,955740,Operate General Management Costs," £570,385.03 ",NE26 6HA
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,EAST RIDING OF YORKSHIRE COUNCIL,2000034717,S31 Determination - TSOG Grant," £563,555.79 ",HU17 9BA
Department for Transport,High Speed Two (HS2) Limited,07/03/2024,AUC - Phase 1,AUC - 000000,PORR UK LTD,#,Slab Track Agreement CC1186 | HRS07," £563,177.49 ",#
Department for Transport,Department for Transport,18/03/2024,Cap Grt Pri Sec-Cos.,DG Roads and Local Group,DRIVING MOBILITY,2000034377,"""Driving Mobility 2023-24 (#562,411 - CDEL)"""," £562,411.00 ",TR1 2ES
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,MEDWAY COUNCIL,2000034693,S31 Determination - TSOG Grant," £561,579.36 ",ME4 4TR
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,READING BOROUGH COUNCIL,2000034764,S31 Determination - TSOG Grant," £561,230.58 ",RG1 7AE
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,Recruitment Fees,"P40040 - People, Organisation and Communities Directorate",COMENSURA LTD,#,Neutral Vendor services from 1 August 2023 to 31 July 2024," £560,115.28 ",#
Department For Transport,National Highways,15/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,ELECTRICITY NORTH WEST LTD (CIS) DIVERT/CONNECT,953650,RIS 2 Schemes," £559,670.61 ",WA3 6XG
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,MILTON KEYNES BC,2000034664,S31 Determination - TSOG Grant," £559,176.64 ",MK9 3EE
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,READING BOROUGH COUNCIL,2000035546,ATF4E First Intallment," £558,000.00 ",RG1 2LU
